user,rate_blink_left,rate_blink_right,rate_smile_or_not,blink_left,blink_right,smile_or_not
2,0.67,0.67,0,0,0,0
2,0.76,0.89,0,0,0,0
2,0.85,0.6,0,0,0,0
2,0.72,0.37,0,0,1,0
2,0.35,0.1,0,1,1,0
2,0.74,0.63,0,0,0,0
2,0.58,0.73,0,0,0,0
2,0.93,0.99,0.61,0,0,1
2,0.73,0.84,0,0,0,0
2,0.81,0.87,0,0,0,0
2,0.52,0.44,0,0,1,0
2,0.65,0.71,0,0,0,0
2,0.75,0.72,0,0,0,0
2,0.57,0.6,0,0,0,0
2,0.8,0.95,0.96,0,0,1
2,0.56,0.65,0.96,0,0,1
2,0.87,0.74,0,0,0,0
2,0.77,0.85,0,0,0,0
2,0.56,0.55,0,0,0,0
2,0.72,0.37,0,0,1,0
2,0.76,0.72,0,0,0,0
2,0.31,0.73,0,1,0,0
2,0.72,0.81,0,0,0,0
2,0.68,0.56,0,0,0,0
2,0.6,0.61,0,0,0,0
2,0.8,0.75,0.93,0,0,1
2,0.65,0.55,0,0,0,0
2,0.64,0.73,0,0,0,0
2,0.54,0.12,0,0,1,0
2,0.53,0.45,0,0,1,0
2,0.53,0.3,0,0,1,0
2,0.71,0.81,0,0,0,0
2,0.71,0.77,0,0,0,0
2,0.85,0.99,0,0,0,0
2,0.63,0.7,0,0,0,0
2,0.44,0.74,0,1,0,0
2,0.53,0.48,0.29,0,1,1
2,0.7,0.67,0,0,0,0
2,0.79,0.68,0,0,0,0
2,0.46,0.62,0,1,0,0
2,0.67,0.84,0,0,0,0
2,0.74,0.92,0,0,0,0
2,0.49,0.73,0,1,0,0
2,0.71,0.81,0,0,0,0
2,0.85,0.99,0,0,0,0
2,0.92,0.85,0,0,0,0
2,0.51,0.8,0,0,0,0
2,0.53,0.69,0,0,0,0
2,0.3,0.64,0,1,0,0
2,0.63,0.46,0,0,1,0
2,0.71,0.71,0,0,0,0
2,0.99,0.99,0,0,0,0
2,0.81,0.99,0,0,0,0
2,0.4,0.5,0.64,1,0,1
2,0.64,0.57,0,0,0,0
2,0.79,0.68,0,0,0,0
2,0.39,0.56,0,1,0,0
2,0.45,0.44,0,1,1,0
2,0.75,0.6,0,0,0,0
2,0.58,0.97,0,0,0,0
2,0.8,0.47,0,0,1,0
2,0.64,0.56,0,0,0,0
2,0.76,0.61,0,0,0,0
2,0.74,0.63,0,0,0,0
2,0.67,0.89,0,0,0,0
2,0.8,0.47,0,0,1,0
2,0.44,0.72,0,1,0,0
2,0.47,0.02,0,1,1,0
2,0.81,0.57,0,0,0,0
2,0.82,0.87,0,0,0,0
2,0.79,0.56,0,0,0,0
2,0.6,0.45,0,0,1,0
2,0.4,0.53,0,1,0,0
2,0.39,0.56,0,1,0,0
2,0.36,0.54,0,1,0,0
2,0.66,0.57,0,0,0,0
2,0.74,0.98,0,0,0,0
2,0.77,0.58,0,0,0,0
2,0.31,0.58,0,1,0,0
2,0.99,0.58,0,0,0,0
2,0.9,0.97,0.37,0,0,1
2,0.33,0.61,0,1,0,0
2,0.51,0.71,0,0,0,0
2,0.43,0.33,0,1,1,0
2,0.61,0.67,0,0,0,0
2,0.64,0.68,0,0,0,0
2,0.58,0.51,0,0,0,0
2,0.82,0.63,0.95,0,0,1
2,0.52,0.91,0,0,0,0
2,0.72,0.42,0,0,1,0
2,0.8,0.52,0,0,0,0
2,0.39,0.72,0,1,0,0
2,0.68,0.78,0,0,0,0
2,0.58,0.69,0,0,0,0
2,0.53,0.69,0,0,0,0
2,0.64,0.86,0,0,0,0
2,0.89,0.85,0,0,0,0
2,0.02,0.3,0,1,1,0
2,0.81,0.65,0,0,0,0
2,0.57,0.65,0,0,0,0
2,0.77,0.58,0,0,0,0
2,0.91,0.63,0,0,0,0
2,0.75,0.8,0,0,0,0
2,0.58,0.65,0,0,0,0
2,0.71,0.82,0,0,0,0
2,0.75,0.72,0,0,0,0
2,0.48,0.51,0,1,0,0
2,0.65,0.71,0,0,0,0
2,0.46,0.48,0,1,1,0
2,0.64,0.86,0,0,0,0
2,0.67,0.67,0,0,0,0
2,0.43,0.33,0,1,1,0
2,0.98,0.63,0,0,0,0
2,0.53,0.72,0,0,0,0
2,0.99,0.8,0,0,0,0
2,0.64,0.63,0,0,0,0
2,0.63,0.7,0,0,0,0
2,0.44,0.72,0,1,0,0
2,0.68,0.99,0,0,0,0
2,0.78,0.99,0,0,0,0
2,0.27,0.38,0,1,1,0
2,0.65,0.52,0,0,0,0
2,0.7,0.87,0,0,0,0
2,0.75,0.86,0,0,0,0
2,0.63,0.56,0.73,0,0,1
2,0.78,0.99,0,0,0,0
2,0.78,0.77,0,0,0,0
2,0.9,0.97,0.37,0,0,1
2,0.6,0.42,0.79,0,1,1
2,0.52,0.59,0,0,0,0
2,0.6,0.56,0.4,0,0,1
2,0.82,0.76,0,0,0,0
2,0.73,0.84,0,0,0,0
2,0.72,0.81,0,0,0,0
2,0.91,0.63,0,0,0,0
2,0.66,0.65,0,0,0,0
2,0.75,0.85,0,0,0,0
2,0.56,0.54,0,0,0,0
2,0.78,0.84,0.41,0,0,1
2,0.82,0.72,0,0,0,0
2,0.65,0.54,0.56,0,0,1
2,0.87,0.85,0,0,0,0
2,0.62,0.48,0,0,1,0
2,0.71,0.77,0,0,0,0
2,0.17,0.17,0.7,1,1,1
2,0.81,0.99,0,0,0,0
2,0.48,0.29,0,1,1,0
2,0.72,0.68,0,0,0,0
2,0.61,0.53,0.29,0,0,1
2,0.72,0.89,0,0,0,0
2,0.82,0.62,0,0,0,0
2,0.81,0.94,0,0,0,0
2,0.55,0.57,0,0,0,0
2,0.88,0.99,0,0,0,0
2,0.59,0.49,0,0,1,0
2,0.72,0.54,0.94,0,0,1
2,0.69,0.8,0,0,0,0
2,0.74,0.85,0,0,0,0
2,0.69,0.58,0,0,0,0
2,0.76,0.75,0.38,0,0,1
2,0.86,0.99,0.43,0,0,1
2,0.4,0.64,0.63,1,0,1
2,0.67,0.89,0,0,0,0
2,0.79,0.92,0,0,0,0
2,0.57,0.6,0,0,0,0
2,0.97,0.78,0,0,0,0
2,0.99,0.8,0,0,0,0
2,0.27,0.38,0,1,1,0
2,0.71,0.75,0.31,0,0,1
2,0.85,0.83,0,0,0,0
2,0.35,0.1,0,1,1,0
2,0.4,0.64,0.63,1,0,1
2,0.83,0.64,0,0,0,0
2,0.72,0.8,0,0,0,0
2,0.76,0.55,0,0,0,0
2,0.77,0.85,0,0,0,0
2,0.42,0.73,0,1,0,0
2,0.66,0.65,0,0,0,0
2,0.69,0.78,0,0,0,0
2,0.92,0.85,0,0,0,0
2,0.65,0.58,0,0,0,0
2,0.71,0.46,0,0,1,0
2,0.4,0.64,0.87,1,0,1
2,0.61,0.54,0,0,0,0
2,0.61,0.65,0,0,0,0
2,0.73,0.58,0,0,0,0
2,0.31,0.58,0,1,0,0
2,0.69,0.52,0,0,0,0
2,0.82,0.66,0,0,0,0
2,0.74,0.46,0,0,1,0
2,0.79,0.83,0,0,0,0
