user,rate_blink_left,rate_blink_right,rate_smile_or_not,blink_left,blink_right,smile_or_not
3,0.75,0.83,0.01,0,0,0
3,0.55,0.86,0.14,0,0,0
2,0.87,0.99,0.05,0,0,0
1,0.99,0,0.06,0,0,0
1,1,0.99,0.19,0,0,0
1,0.99,0.99,0.01,0,0,0
3,0.62,0.89,0.02,0,0,0
2,0.76,0.79,0.01,0,0,0
2,0.91,0.99,0.02,0,0,0
2,0.65,0.99,0,0,0,0
2,0.65,0.44,0.19,0,1,0
2,0.13,0.41,0,1,1,0
3,0,0.74,0.21,0,0,0
1,0.94,0.98,0.31,0,0,0
1,0.99,0.99,0.28,0,0,0
3,0.66,0.73,0.02,0,0,0
3,0.59,0.8,0.01,0,0,0
1,0.99,0.99,0.07,0,0,0
3,0.75,0.85,0.04,0,0,0
2,0.28,0.18,0.21,1,1,0
2,0.85,0.66,0.01,0,0,0
1,1,0.83,0.12,0,0,0
3,0.79,0.84,0.05,0,0,0
1,0.99,0.75,0.11,0,0,0
3,0.62,0.76,0.01,0,0,0
3,0.99,0.92,0.02,0,0,0
2,0.92,0.98,0,0,0,0
3,0.99,0.99,0.05,0,0,0
3,0.99,0.99,0.06,0,0,0
2,0.77,0.84,0.01,0,0,0
3,0.99,0.99,0.04,0,0,0
2,0.91,0.63,0.1,0,0,0
2,0.71,0,0.2,0,0,0
3,0.37,0.99,0.09,1,0,0
3,0.76,0.9,0.02,0,0,0
1,0.99,0.99,0.1,0,0,0
1,0.99,0.99,0.17,0,0,0
3,0.44,0.82,0.97,1,0,1
3,0.57,0.62,0.95,0,0,1
2,0.76,0.89,0,0,0,0
3,0.43,0.99,0.01,1,0,0
2,0.4,0.34,0.01,1,1,0
3,0.54,0.9,0.75,0,0,1
3,0.66,0.68,0.31,0,0,0
1,1,0.99,0.02,0,0,0
3,0.64,0.81,0.01,0,0,0
1,1,0.99,0.01,0,0,0
2,0.4,0.34,0.01,1,1,0
1,0.99,0.75,0.43,0,0,1
3,0.77,0.95,0.05,0,0,0
3,0.99,0.99,0.04,0,0,0
3,0.63,0.99,0.01,0,0,0
3,0.83,0.99,0,0,0,0
3,0,0.77,0.01,0,0,0
3,0.57,0.99,0.01,0,0,0
3,0.79,0.84,0.05,0,0,0
2,0.79,0.96,0.05,0,0,0
1,0.99,0.99,0.23,0,0,0
3,0.99,0.99,0.07,0,0,0
2,0.28,0.21,0.07,1,1,0
1,0.99,0.99,0.08,0,0,0
3,0.56,0.73,0.01,0,0,0
3,0.72,0.99,0.06,0,0,0
2,0.12,0,0.16,1,0,0
1,0.99,0.99,0.08,0,0,0
2,0.89,0,0,0,0,0
3,0.62,0.89,0.02,0,0,0
2,0.84,0.74,0,0,0,0
1,0.99,0.99,0.02,0,0,0
1,1,0.99,0.01,0,0,0
3,0.61,0.67,0.01,0,0,0
3,0.87,0.94,0.08,0,0,0
3,0.61,0.84,0.06,0,0,0
1,0.94,0.98,0.31,0,0,0
1,0.99,0.99,0.02,0,0,0
2,0.84,0.74,0,0,0,0
3,0.67,0.71,0.01,0,0,0
2,0.87,0.56,0.14,0,0,0
2,0.87,0.99,0.05,0,0,0
2,0.85,0.66,0.01,0,0,0
2,0.93,0.89,0.01,0,0,0
2,0,0.05,0.14,0,1,0
2,0.58,0.62,0.01,0,0,0
3,0.39,0.66,0,1,0,0
1,0.99,0.99,0.15,0,0,0
3,0.48,0.99,0.02,1,0,0
3,0.63,0.84,0.1,0,0,0
3,0.5,0.58,0.03,0,0,0
2,0.63,0.55,0.72,0,0,1
3,0.63,0.99,0.01,0,0,0
2,0.79,0.96,0.05,0,0,0
2,0.3,0.12,0.1,1,1,0
3,0.59,0.97,0.02,0,0,0
3,0.62,0.99,0.01,0,0,0
3,0.51,0.82,0.07,0,0,0
2,0.55,0.92,0.01,0,0,0
1,0.99,0.99,0.29,0,0,0
3,0.7,0.92,0.02,0,0,0
2,0.63,0.24,0.96,0,1,1
2,0.73,0.56,0.97,0,0,1
2,0.83,0.68,0,0,0,0
2,0.75,0.92,0.09,0,0,0
1,1,0.81,0.01,0,0,0
3,0.61,0.82,0.04,0,0,0
2,0.76,0.61,0,0,0,0
3,0.83,0.88,0.01,0,0,0
3,0.99,0.99,0.04,0,0,0
2,0.8,0.98,0,0,0,0
1,0.99,0.99,0.06,0,0,0
3,0.65,0.97,0.01,0,0,0
3,0.56,0.99,0.01,0,0,0
2,0.36,0.16,0.06,1,1,0
3,0.47,0.85,0.01,1,0,0
3,0.75,0.86,0.02,0,0,0
3,0.31,0.86,0.05,1,0,0
3,0.88,0.99,0.02,0,0,0
2,0.83,0,0,0,0,0
3,0.75,0.89,0.01,0,0,0
1,0.99,0.99,0.23,0,0,0
1,0.99,0.75,0.43,0,0,1
1,0.97,0.79,0.39,0,0,0
2,0.89,0.93,0.46,0,0,1
3,0.74,0.62,0.01,0,0,0
3,0.55,0.64,0.14,0,0,0
2,0.99,0,0,0,0,0
1,0.99,0.76,0.01,0,0,0
3,0.66,0.86,0.01,0,0,0
2,0.7,0.43,0.06,0,1,0
3,0.76,0.88,0.01,0,0,0
3,0.44,0.99,0.02,1,0,0
2,0.61,0.43,0.01,0,1,0
3,0.73,0.85,0.02,0,0,0
1,1,0.99,0.08,0,0,0
2,0.68,0.6,0.43,0,0,1
2,0.97,0.5,0,0,0,0
1,0.99,0.9,0.01,0,0,0
3,0.37,0.99,0.09,1,0,0
1,0.99,0.99,0.19,0,0,0
3,0.81,0.99,0.95,0,0,1
1,0.99,0.99,0.11,0,0,0
3,0.54,0.99,0.06,0,0,0
3,0,0.84,0.43,0,0,1
3,0.99,0.99,0.01,0,0,0
1,0.99,0.99,0.32,0,0,0
3,0.7,0.99,0.14,0,0,0
3,0.99,0.99,0.05,0,0,0
2,0.92,0.3,0,0,1,0
2,0.55,0.02,0.96,0,1,1
1,0.99,0.99,0.02,0,0,0
2,0.88,0.37,0,0,1,0
3,0.62,0.99,0.01,0,0,0
2,0.99,0.64,0.12,0,0,0
1,0.99,0.99,0.26,0,0,0
3,0.37,0.7,0.11,1,0,0
1,0.99,0.99,0.04,0,0,0
2,0.78,0.74,0.04,0,0,0
2,0.78,0.85,0.12,0,0,0
1,1,1,0.23,0,0,0
3,0.5,0.54,0.97,0,0,1
2,0.04,0.23,0,1,1,0
3,0.85,0.99,0.3,0,0,0
3,0.34,0.98,0.22,1,0,0
3,0.47,0.9,0.01,1,0,0
3,0.55,0.93,0.01,0,0,0
2,0.99,0,0,0,0,0
1,0.99,0.99,0.4,0,0,0
2,0.48,0.31,0.38,1,1,0
3,0.8,0.81,0.03,0,0,0
3,0.72,0.79,0.05,0,0,0
3,0.48,0.99,0.02,1,0,0
3,0.41,0.86,0.01,1,0,0
2,0.93,0.37,0,0,1,0
1,1,0,0.24,0,0,0
2,0.55,0.3,0.98,0,1,1
1,0.99,0.98,0.21,0,0,0
3,0.32,0.08,0.04,1,1,0
2,0.41,0.46,0.06,1,1,0
1,1,0.99,0.01,0,0,0
2,0.39,0.38,0.01,1,1,0
3,0.6,0.77,0.01,0,0,0
3,0.6,0.99,0.23,0,0,0
1,0.99,0.98,0.21,0,0,0
1,0.99,0.82,0.07,0,0,0
2,0.65,0.99,0,0,0,0
2,0.83,0.54,0.08,0,0,0
3,0.55,0.85,0.02,0,0,0
1,0.33,0.19,0.42,1,1,1
2,0.74,0.63,0.07,0,0,0
1,0.99,0.99,0.06,0,0,0
3,0.66,0.84,0.12,0,0,0
3,0.7,0.9,0.58,0,0,1
1,0.99,0.99,0.01,0,0,0
2,0.62,0.33,0.11,0,1,0
3,0.91,0.99,0.16,0,0,0
1,1,0.99,0.08,0,0,0
3,0.67,0.85,0.01,0,0,0
2,0.54,0.59,0.15,0,0,0
2,0.76,0.68,0.96,0,0,1
1,0.99,0.99,0.01,0,0,0
3,0.65,0.67,0.38,0,0,0
3,0.68,0.99,0.02,0,0,0
2,0.56,0.62,0.22,0,0,0
2,0.99,0.6,0.03,0,0,0
2,0.6,0.47,0,0,1,0
2,0.99,0.27,0.13,0,1,0
3,0.58,0.86,0.01,0,0,0
2,0.61,0,0.15,0,0,0
1,0.99,0.99,0.01,0,0,0
3,0.83,0.99,0.07,0,0,0
3,0.48,0.95,0.28,1,0,0
3,0.99,0.86,0.01,0,0,0
3,0.85,0.86,0.01,0,0,0
2,0.85,0.78,0.43,0,0,1
2,0.96,0.99,0.01,0,0,0
2,0.71,0.48,0.01,0,1,0
3,0.6,0.82,0.03,0,0,0
2,0.71,0,0.26,0,0,0
1,0.99,0.99,0.1,0,0,0
3,0.95,0.99,0,0,0,0
3,0.7,0.75,0.01,0,0,0
3,0.67,0.85,0.08,0,0,0
2,0.65,0.44,0.19,0,1,0
3,0.52,0.76,0.28,0,0,0
2,0.99,0.35,0.15,0,1,0
3,0.52,0.88,0.18,0,0,0
3,0.99,0.99,0.1,0,0,0
1,0.99,0.99,0.42,0,0,1
1,0.99,0.99,0.24,0,0,0
1,0.99,0.99,0.04,0,0,0
1,0.33,0.57,0.1,1,0,0
1,0.99,0.86,0.12,0,0,0
2,0.54,0.49,0.22,0,1,0
2,0.81,0.99,0.01,0,0,0
2,0.94,0.87,0.01,0,0,0
1,1,0.99,0.06,0,0,0
2,0.8,0.76,0.15,0,0,0
3,0.99,0.99,0.08,0,0,0
1,0.99,0.96,0.24,0,0,0
1,1,0.99,0.01,0,0,0
2,0.99,0.53,0.12,0,0,0
2,0.72,0.63,0,0,0,0
2,0.85,0.72,0.12,0,0,0
3,0.55,0.57,0.57,0,0,1
3,0.85,0.99,0.02,0,0,0
2,0.58,0.38,0.16,0,1,0
3,0.47,0.86,0.01,1,0,0
3,0.83,0.99,0.01,0,0,0
2,0.89,0.84,0.01,0,0,0
2,0.94,0.58,0.17,0,0,0
3,0.91,0.94,0.08,0,0,0
1,0.99,0.97,0.02,0,0,0
2,0.31,0.22,0.03,1,1,0
2,0.94,0.99,0.02,0,0,0
3,0.51,0.94,0.03,0,0,0
3,0.24,0.08,0.01,1,1,0
3,0.53,0.99,0.07,0,0,0
1,1,0.99,0.28,0,0,0
2,0.99,0.85,0.07,0,0,0
2,0.93,0.32,0.16,0,1,0
3,0.75,0.99,0.17,0,0,0
3,0.73,0.97,0.16,0,0,0
1,0.56,0.41,0.18,0,1,0
2,0.55,0.02,0.96,0,1,1
1,0.99,0.99,0.02,0,0,0
2,0.93,0.99,0,0,0,0
3,0.57,0.92,0.04,0,0,0
3,0.76,0.99,0.29,0,0,0
2,0.7,0.43,0.06,0,1,0
3,0.77,0.82,0.02,0,0,0
2,0.99,0.99,0.1,0,0,0
3,0.27,0.64,0.96,1,0,1
2,0.93,0.89,0.01,0,0,0
1,0.99,0.99,0.15,0,0,0
2,0.77,0.6,0.96,0,0,1
