,user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1723,5,0.99,0.99,0.08,1
1724,5,0.99,0.99,0.08,1
1725,5,0.99,0.99,0.08,1
1726,5,0.99,0.99,0.02,1
1727,5,0.99,0.99,0.02,1
1728,5,0.99,0.99,0.02,1
1729,5,0.99,0.99,0.02,1
1730,5,0.99,0.99,0.01,1
1731,5,0.99,0.99,0.01,1
1732,5,0.99,0.99,0.01,1
1733,5,0.99,0.99,0.01,1
1734,5,0.99,0.99,0.01,1
1735,5,0.99,0.99,0.01,1
1736,5,0.99,0.99,0.02,1
1737,5,0.99,0.99,0.02,1
1738,5,0.99,0.99,0.02,1
1739,5,0.99,0.99,0.01,1
1740,5,0.99,0.99,0.01,1
1741,5,0.99,0.99,0.01,2
1742,5,0.99,0.99,0.01,2
1743,5,0.99,0.99,0.01,2
1744,5,0.99,0.99,0.01,2
1745,5,0.99,0.99,0.14,2
1746,5,0.99,0.99,0.14,2
1747,5,0.99,0.99,0.14,2
1748,5,0.99,0.99,0.14,2
1749,5,0.99,0.99,0.34,2
1750,5,0.99,0.99,0.34,2
1751,5,0.99,0.99,0.34,2
1752,5,0.99,0.99,0.34,2
1753,5,0.99,0.88,0.37,2
1754,5,0.99,0.88,0.37,2
1755,5,0.99,0.88,0.37,2
1756,5,0.99,0.99,0.8,2
1757,5,0.99,0.99,0.8,2
1758,5,0.99,0.99,0.8,2
1759,5,0.99,0.84,0.6,2
1760,5,0.99,0.84,0.6,2
1761,5,0.99,0.94,0.63,2
1762,5,0.99,0.94,0.63,2
1763,5,0.99,0.94,0.63,2
1764,5,0.99,0.86,0.95,2
1765,5,0.99,0.86,0.95,2
1766,5,0.99,0.86,0.95,2
1767,5,0.99,0.99,0.96,2
1768,5,0.99,0.99,0.96,2
1769,5,0.99,0.99,0.96,2
1770,5,0.99,0.97,0.95,2
1771,5,0.99,0.97,0.95,2
1772,5,0.99,0.97,0.95,2
1773,5,0.99,0.94,0.96,2
1774,5,0.99,0.94,0.96,2
1775,5,0.99,0.94,0.96,2
1776,5,0.99,0.91,0.96,2
1777,5,0.99,0.91,0.96,2
1778,5,0.99,0.91,0.96,2
1779,5,0.99,0.75,0.95,2
1780,5,0.99,0.75,0.95,2
1781,5,0.99,0.75,0.95,2
1782,5,0.99,0.85,0.96,2
1783,5,0.99,0.85,0.96,2
1784,5,0.99,0.85,0.96,2
1785,5,0.99,0.9,0.96,2
1786,5,0.99,0.9,0.96,2
1787,5,0.99,0.9,0.96,2
1788,5,0.99,0.91,0.96,2
1789,5,0.99,0.91,0.96,2
1790,5,0.99,0.91,0.96,2
1791,5,0.99,0.95,0.95,2
1792,5,0.99,0.95,0.95,2
1793,5,0.99,0.95,0.95,2
1794,5,0.99,0.89,0.96,2
1795,5,0.99,0.89,0.96,2
1796,5,0.99,0.89,0.96,2
1797,5,0.99,0.94,0.95,2
1798,5,0.99,0.94,0.95,2
1799,5,0.99,0.94,0.95,2
1800,5,0.99,0.92,0.96,2
1801,6,0.99,0.99,0.01,1
1802,6,0.99,0.99,0.01,1
1803,6,0.99,0.99,0.01,1
1804,6,0.99,0.99,0.01,1
1805,6,0.99,0.99,0.03,1
1806,6,0.99,0.99,0.03,1
1807,6,0.99,0.99,0.03,1
1808,6,0.99,0.99,0.01,1
1809,6,0.99,0.99,0.01,1
1810,6,0.99,0.99,0.01,1
1811,6,0.99,0.96,0.05,1
1812,6,0.99,0.96,0.05,1
1813,6,0.99,0.96,0.05,1
1814,6,0.99,0.96,0.05,1
1815,6,0.99,0.96,0.05,1
1816,6,0.42,0.71,0.01,1
1817,6,0.42,0.71,0.01,1
1818,6,0.42,0.71,0.01,1
1819,6,0.42,0.71,0.01,1
1820,6,0.42,0.71,0.01,1
1821,6,0.22,0.27,0.01,1
1822,6,0.22,0.27,0.01,1
1823,6,0.22,0.27,0.01,1
1824,6,0.22,0.27,0.01,1
1825,6,0.22,0.27,0.01,1
1826,6,0.22,0.27,0.01,1
1827,6,0.26,0.63,0.01,1
1828,6,0.26,0.63,0.01,1
1829,6,0.26,0.63,0.01,1
1830,6,0.26,0.63,0.01,1
1831,6,0.47,0.78,0.01,1
1832,6,0.47,0.78,0.01,1
1833,6,0.47,0.78,0.01,1
1834,6,0.54,0.73,0.02,1
1835,6,0.54,0.73,0.02,1
1836,6,0.54,0.73,0.02,1
1837,6,0.44,0.72,0.04,1
1838,6,0.44,0.72,0.04,1
1839,6,0.44,0.72,0.04,1
1840,6,0.48,0.65,0.02,1
1841,6,0.48,0.65,0.02,1
1842,6,0.48,0.65,0.02,1
1843,6,0.54,0.8,0.01,1
1844,6,0.54,0.8,0.01,1
1845,6,0.54,0.8,0.01,1
1846,6,0.75,0.82,0.01,1
1847,6,0.75,0.82,0.01,1
1848,6,0.75,0.82,0.01,1
1849,6,0.85,0.77,0.01,1
