user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1,0.81,0.86,0.95,2
1,0.99,0.98,0.95,2
1,0.99,0.99,0.95,2
1,0.99,0.99,0.53,2
1,0.99,0.99,0.4,2
1,0.99,0.99,0.95,2
1,0.89,0.99,0.96,2
1,0.72,0.89,0.97,2
1,0.82,0.66,0.33,2
1,0.62,0.79,0.09,2
1,0.7,0.76,0.09,2
1,0.77,0.57,0.15,2
1,0.53,0.4,0.95,2
1,0.93,0.96,0.14,2
1,0.6,0.7,0.13,2
1,0.91,0.92,0.31,2
1,0.98,0.88,0.29,2
1,0.99,0.99,0.26,2
1,0.95,0.89,0.73,2
1,0.18,0.17,0.93,2
1,0.83,0.68,0.96,2
1,0.83,0.61,0.97,2
1,0.61,0.58,0.96,2
1,0.48,0.3,0.37,2
1,0.41,0.44,0.56,2
1,0.56,0.51,0.93,2
1,0.71,0.64,0.96,2
1,0.81,0.69,0.8,2
1,0.81,0.82,0.1,2
1,0.27,0.03,0.22,2
1,0.99,0.97,0.22,2
1,0.99,0.96,0.36,2
1,0.94,0.89,0.25,2
1,0.99,0.99,0.19,2
1,0.99,0.99,0.16,2
1,0.99,0.99,0.16,2
1,0.99,0.93,0.23,2
1,0.99,0.99,0.22,2
1,0.91,0.99,0.27,2
1,0.99,0.83,0.18,2
1,0.99,0.96,0.32,2
1,0.99,0.94,0.44,2
1,0.99,0.99,0.38,2
1,0.22,0.18,0.14,2
1,0.99,0.9,0.12,2
1,0.99,0.92,0.07,2
1,0.76,0.75,0.41,2
1,0.99,0.99,0.61,2
1,0.99,0.99,0.45,2
1,0.82,0.62,0.06,2
1,0.99,0.99,0.01,2
1,0.99,0.99,0.15,2
1,0.87,0.99,0.66,2
1,0.99,0.99,0.71,2
1,0.99,0.93,0.58,2
1,0.51,0.06,0.46,2
1,0.99,0.93,0.19,2
1,0.99,0.91,0.22,2
1,0.99,0.99,0.19,2
1,0.99,0.81,0.17,2
1,0.99,0.84,0.19,2
1,0.63,0.22,0.49,2
1,0.96,0.95,0.49,2
1,0.98,0.94,0.61,2
1,0.99,0.99,0.2,2
1,0.94,0.96,0.33,2
1,0.58,0.87,0.15,2
1,0.67,0.85,0.31,2
1,0.87,0.9,0.21,2
1,0.48,0.31,0.25,2
1,0.99,0.99,0.22,2
1,0.99,0.99,0.23,2
1,0.99,0.97,0.34,2
1,0.84,0.94,0.65,2
1,0.83,0.84,0.26,2
1,0.75,0.61,0.41,2
1,0.61,0.62,0.29,2
1,0.76,0.6,0.26,2
1,0.69,0.79,0.96,2
1,0.76,0.7,0.96,2
1,0.84,0.81,0.39,2
1,0.8,0.72,0.39,2
1,0.72,0.86,0.01,2
1,0.78,0.81,0.04,2
1,0.76,0.84,0.14,2
1,0.88,0.82,0.13,2
1,0.99,0.92,0.19,2
1,0.9,0.86,0.12,2
1,0.88,0.71,0.13,2
1,0.72,0.74,0.19,2
1,0.71,0.7,0.23,2
1,0.56,0.68,0.25,2
1,0.42,0.4,0.28,2

